corruption,severity,baseline_acc,tta_acc
elastic_transform,1,89.09,88.91
elastic_transform,2,89.11,89.32
elastic_transform,3,84.61,86.46
elastic_transform,4,72.75,74.06
elastic_transform,5,66.88,43.71
pixelate,1,92.29,92.25
pixelate,2,86.95,88.73
pixelate,3,83.05,86.49
pixelate,4,60.19,78.28
pixelate,5,34.84,34.69
jpeg_compression,1,84.89,85.23
jpeg_compression,2,77.34,78.53
jpeg_compression,3,74.37,76.34
jpeg_compression,4,70.49,72.26
jpeg_compression,5,64.74,67.45
speckle_noise,1,84.32,86.52
speckle_noise,2,69.01,77.95
speckle_noise,3,60.74,72.82
speckle_noise,4,46.1,61.89
speckle_noise,5,35.39,49.35
gaussian_blur,1,94.28,94.3
gaussian_blur,2,88.81,91.38
gaussian_blur,3,78.84,86.63
gaussian_blur,4,63.68,73.12
gaussian_blur,5,31.77,20.63
spatter,1,91.14,91.12
spatter,2,85.33,85.36
spatter,3,81.78,82.13
spatter,4,83.28,83.16
spatter,5,73.61,73.48
saturate,1,92.83,92.81
saturate,2,90.1,90.45
saturate,3,93.82,93.85
saturate,4,91.32,91.39
saturate,5,87.16,87.91
gaussian_noise,1,73.82,81.78
gaussian_noise,2,52.57,70.53
gaussian_noise,3,35.92,56.64
gaussian_noise,4,30.4,52.58
gaussian_noise,5,25.92,40.34
shot_noise,1,83.22,86.58
shot_noise,2,72.37,80.46
shot_noise,3,50.07,68.31
shot_noise,4,41.94,62.32
shot_noise,5,32.44,53.52
impulse_noise,1,60.58,60.56
impulse_noise,2,45.93,37.64
impulse_noise,3,37.57,21.44
impulse_noise,4,26.95,17.91
impulse_noise,5,19.4,13.3
defocus_blur,1,94.31,94.39
defocus_blur,2,92.99,93.29
defocus_blur,3,88.75,91.2
defocus_blur,4,78.07,83.92
defocus_blur,5,46.12,23.74
glass_blur,1,54.92,63.39
glass_blur,2,55.53,62.7
glass_blur,3,60.62,65.62
glass_blur,4,41.91,13.97
glass_blur,5,45.84,18.72
motion_blur,1,89.92,90.09
motion_blur,2,81.09,82.1
motion_blur,3,69.27,71.09
motion_blur,4,68.48,68.5
motion_blur,5,57.2,45.84
zoom_blur,1,87.35,88.79
zoom_blur,2,83.97,86.82
zoom_blur,3,76.88,81.49
zoom_blur,4,68.84,76.78
zoom_blur,5,56.57,27.95
snow,1,89.92,89.97
snow,2,85.11,85.25
snow,3,85.27,85.2
snow,4,84.35,84.25
snow,5,82.74,82.84
frost,1,92.07,92.08
frost,2,88.79,89.13
frost,3,82.85,83.86
frost,4,81.72,82.43
frost,5,74.33,76.72
fog,1,94.7,94.67
fog,2,94.11,94.08
fog,3,93.23,93.34
fog,4,91.05,91.36
fog,5,81.09,82.12
brightness,1,94.41,94.39
brightness,2,94.03,94
brightness,3,93.65,93.66
brightness,4,92.95,92.99
brightness,5,90.72,90.67
contrast,1,94.58,94.5
contrast,2,93.48,93.41
contrast,3,91.87,92.32
contrast,4,86.95,90.31
contrast,5,53.51,78.1